Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,prediction,timestamp
20250215,1,12.1,23.7,0.7,4.0,5.7,40,50.0,251,357,24.9,27.2,83.4,47.2,1000.6,1016.6,4.8,7.6,12.4,29.4,1,0,2025-02-02T21:53:18.650803
20250216,5,15.0,26.1,1.9,3.5,5.7,165,39.4,135,3,23.3,17.0,82.4,46.7,1009.8,1014.8,3.8,2.1,19.6,23.8,1,0,2025-02-02T21:53:19.773365
20250217,1,12.2,23.5,1.0,5.2,5.2,146,24.3,227,205,23.2,18.4,75.4,69.2,1022.2,1018.0,7.5,4.4,9.9,22.6,1,0,2025-02-02T21:53:19.145639
20250218,4,13.9,21.9,1.0,4.5,6.3,304,47.3,286,328,5.0,14.4,55.3,48.0,1000.8,1013.2,6.1,3.2,20.0,28.6,1,0,2025-02-02T21:53:20.310994
20250219,3,13.2,21.9,1.6,4.5,11.9,260,29.5,76,143,20.9,17.0,89.1,66.7,1021.1,1000.9,8.2,5.9,9.8,17.8,0,0,2025-02-02T21:53:21.448802
20250220,3,13.0,23.2,2.0,3.7,6.8,350,37.0,230,181,23.2,23.9,46.3,44.1,1009.7,1012.3,3.3,5.9,11.9,18.5,0,0,2025-02-02T21:53:22.611033
20250221,8,12.5,20.8,1.0,3.6,7.9,342,43.8,354,117,7.5,19.0,71.6,36.4,1024.6,1012.9,9.4,8.1,16.6,28.7,0,0,2025-02-02T21:53:23.823473
20250222,6,10.7,29.5,0.2,4.9,8.5,292,27.6,333,82,12.1,21.0,65.5,46.3,1008.7,1003.6,8.6,5.1,17.3,21.8,1,0,2025-02-02T21:53:25.027214
20250223,3,8.0,23.0,1.4,4.0,7.2,131,39.8,76,199,11.6,22.0,79.8,32.3,1007.0,1008.6,2.3,3.5,5.6,29.0,1,0,2025-02-02T21:53:26.204744
20250224,1,8.5,23.4,0.1,5.6,9.4,312,27.0,12,204,9.3,18.5,64.6,39.1,1004.9,1001.2,8.3,7.4,5.1,21.8,0,0,2025-02-02T21:53:27.366172
20250225,7,9.6,22.6,2.0,3.1,7.3,46,46.3,195,11,22.4,27.2,58.6,36.5,1002.4,1006.5,1.7,3.7,13.6,17.6,1,0,2025-02-02T21:53:28.494982
20250226,3,12.0,20.2,0.3,3.9,10.1,262,32.5,257,189,23.3,21.8,84.7,62.3,1009.8,1014.8,10.0,9.1,10.4,18.5,0,0,2025-02-02T21:53:29.628815
20250227,4,10.1,28.6,1.7,3.6,9.7,143,38.4,8,249,15.3,26.8,45.6,39.0,1016.5,1011.9,5.9,8.3,5.8,17.1,1,0,2025-02-02T21:53:30.751421
20250228,5,8.6,27.9,1.0,3.1,8.0,125,20.6,192,321,20.5,18.9,61.9,58.4,1006.3,1015.7,7.1,2.3,18.6,20.9,0,0,2025-02-02T21:53:31.912827
20250229,3,13.4,25.4,0.1,5.2,5.1,237,47.3,46,0,16.1,14.9,83.1,68.1,1003.2,1003.3,2.7,3.4,11.8,27.0,1,0,2025-02-02T21:53:33.064556
20250230,5,12.4,29.9,1.4,3.8,11.3,50,34.1,9,218,11.3,25.7,56.1,30.7,1011.4,1011.9,5.1,6.5,6.8,29.8,0,0,2025-02-02T21:53:34.230077
20250231,8,11.7,20.8,1.1,5.5,8.4,45,39.4,6,112,8.2,18.6,50.5,55.9,1000.5,1011.8,1.4,8.4,10.5,17.5,1,0,2025-02-02T21:53:35.351085
20250232,6,10.1,26.8,0.4,3.0,12.0,99,27.4,200,298,19.6,18.2,69.2,37.1,1004.7,1003.6,8.9,6.2,16.6,20.2,0,0,2025-02-02T21:53:36.539633
20250233,7,10.7,21.9,0.6,5.1,8.0,164,30.1,339,341,13.7,10.4,61.7,63.6,1007.8,1001.2,7.5,7.7,12.1,25.7,0,0,2025-02-02T21:53:37.684657
20250234,2,5.9,26.7,1.2,5.7,5.0,151,25.3,310,221,16.9,27.0,77.9,31.2,1020.9,1015.4,6.8,2.2,5.6,26.9,0,0,2025-02-02T21:53:38.875200
20250235,9,10.2,20.1,0.8,4.8,8.4,327,23.7,53,258,14.6,10.8,49.9,68.5,1005.3,1002.6,7.4,3.3,14.6,20.3,0,0,2025-02-02T21:53:40.035759
20250236,7,13.4,27.8,0.8,4.1,8.9,78,50.0,248,319,15.7,19.1,64.3,45.4,1019.2,1013.5,6.5,1.2,17.0,17.7,1,0,2025-02-02T21:53:41.216896
20250237,2,10.5,30.0,1.7,5.7,5.6,59,33.5,341,300,17.2,28.1,88.3,47.3,1002.6,1004.4,9.4,4.7,14.4,19.8,1,0,2025-02-02T21:53:42.340346
20250238,8,7.8,21.6,0.8,5.4,8.7,62,48.0,127,126,10.8,11.7,85.2,30.8,1021.7,1013.6,6.2,5.8,14.3,18.3,0,0,2025-02-02T21:53:43.498644
20250239,3,5.9,24.8,0.5,5.1,6.5,101,33.7,43,1,24.8,17.7,50.2,62.8,1009.5,1017.6,6.4,8.2,9.1,28.0,1,0,2025-02-02T21:53:44.650901
20250240,9,10.8,29.4,0.6,5.2,10.9,12,47.1,124,190,23.4,20.8,78.4,65.1,1001.4,1005.9,7.2,4.2,18.2,15.1,0,1,2025-02-02T21:53:45.767332
20250241,2,6.3,27.1,2.0,4.4,8.5,112,38.2,156,338,8.4,16.4,86.7,47.5,1014.7,1011.3,9.1,0.5,14.4,21.6,0,0,2025-02-02T21:53:46.951849
20250242,6,5.5,23.4,0.3,3.4,5.2,356,28.6,334,250,18.4,21.3,45.8,36.8,1005.8,1005.7,7.2,1.4,6.6,21.2,0,0,2025-02-02T21:53:48.114878
20250243,1,5.7,24.0,0.6,5.9,6.3,99,20.7,336,345,11.9,16.2,83.9,33.3,1002.0,1008.5,3.3,7.7,5.1,29.2,1,0,2025-02-02T21:53:47.433021
20250244,4,10.5,21.0,0.4,4.6,7.6,136,45.4,55,262,17.5,18.2,70.2,49.2,1011.4,1007.8,0.7,4.0,8.0,20.9,0,0,2025-02-02T21:53:48.611080
20250245,6,13.5,22.8,1.7,5.0,7.7,101,27.6,73,146,19.1,10.2,58.3,52.2,1009.1,1001.9,2.3,0.5,5.4,21.0,0,0,2025-02-02T21:53:49.745041
20250246,2,9.3,29.3,0.8,3.4,9.5,183,46.0,319,268,19.8,28.7,64.7,44.8,1012.6,1013.8,4.6,9.5,17.9,23.2,1,0,2025-02-02T21:53:50.939521
20250247,7,12.2,28.5,1.6,4.8,10.2,233,44.9,8,26,12.3,27.0,63.9,44.0,1005.5,1004.1,5.1,5.0,10.0,17.5,0,0,2025-02-02T21:53:52.094946
20250248,5,13.6,21.3,1.6,5.6,11.1,106,31.2,32,119,20.4,20.8,46.6,55.2,1000.6,1016.4,6.1,8.9,16.7,25.0,1,0,2025-02-02T21:53:53.289680
20250249,2,6.6,23.8,1.2,5.7,8.6,41,46.5,3,174,24.5,23.5,49.0,36.2,1020.2,1001.0,10.0,8.5,17.0,15.2,1,0,2025-02-02T21:53:54.415027
20250250,5,6.3,26.9,0.5,4.1,5.5,89,34.2,47,302,23.7,19.7,73.0,57.5,1009.8,1017.5,7.9,1.0,9.6,22.6,0,0,2025-02-02T21:53:55.558443
20250251,2,14.1,29.4,1.0,4.9,6.9,257,46.8,229,27,16.2,10.2,82.9,57.1,1004.4,1015.9,3.5,2.6,6.7,17.0,0,0,2025-02-02T21:53:56.688451
20250252,8,5.0,22.2,1.2,3.5,8.9,116,34.7,303,207,20.7,20.5,73.8,39.0,1023.6,1004.7,2.7,5.6,19.5,19.7,1,0,2025-02-02T21:53:57.875455
20250253,9,13.5,27.4,1.9,3.7,9.4,206,34.4,184,240,12.0,25.0,51.9,40.6,1004.2,1001.4,5.2,8.3,10.1,25.6,1,0,2025-02-02T21:53:59.002360
20250254,1,6.9,23.6,1.7,3.1,7.9,248,23.5,296,260,24.4,23.9,57.3,68.6,1012.5,1014.3,2.5,1.4,14.3,18.8,1,0,2025-02-02T21:54:00.170597
20250255,5,5.6,29.5,1.6,4.9,9.9,321,23.3,144,225,23.5,14.8,73.9,50.1,1007.3,1012.9,6.8,1.5,8.9,22.8,0,0,2025-02-02T21:54:01.287466
20250256,3,8.0,21.3,0.3,4.6,10.8,279,35.7,102,341,22.3,26.6,72.3,30.4,1001.7,1011.5,4.1,5.4,16.1,28.5,1,0,2025-02-02T21:54:02.401224
20250257,1,10.4,22.3,0.5,4.4,7.8,15,38.5,183,234,15.4,25.9,55.6,35.2,1015.0,1013.0,6.8,5.5,6.2,22.7,1,0,2025-02-02T21:54:03.590294
20250258,1,8.5,23.0,0.3,5.0,7.0,300,26.6,225,350,13.0,20.2,75.4,47.7,1022.8,1005.9,6.6,8.8,7.7,21.9,0,0,2025-02-02T21:54:04.845122
20250259,9,7.1,20.5,0.5,3.5,10.8,126,22.4,3,173,13.4,18.1,51.0,30.4,1022.7,1014.0,4.0,9.9,13.6,27.1,0,0,2025-02-02T21:54:06.072787
20250260,9,8.7,21.4,1.0,3.9,9.1,240,45.1,281,321,10.2,16.2,83.2,35.7,1004.4,1004.3,6.7,6.0,16.5,26.7,0,0,2025-02-02T21:54:07.274393
20250261,2,9.6,29.6,0.6,5.4,9.4,326,48.1,72,192,7.3,28.4,76.5,41.8,1012.9,1017.3,7.9,8.7,15.8,21.7,1,0,2025-02-02T21:54:08.514057
20250262,8,10.1,23.4,1.7,4.2,5.7,149,29.8,232,168,15.7,18.9,55.2,52.0,1004.3,1002.8,8.4,4.9,19.9,16.1,0,0,2025-02-02T21:54:09.939802
20250263,4,15.0,20.6,1.4,3.0,11.0,58,30.0,235,244,11.2,23.3,48.1,35.3,1008.2,1003.0,4.7,8.2,11.4,24.0,1,0,2025-02-02T21:54:11.165588
20250264,5,9.4,27.7,1.0,4.7,8.9,72,34.5,276,179,22.1,20.9,53.2,47.8,1004.2,1019.4,2.3,1.3,16.9,21.0,1,0,2025-02-02T21:54:12.325687
20250265,4,12.9,20.0,0.5,5.0,9.0,54,32.9,186,136,20.1,24.7,47.4,30.2,1018.6,1004.7,7.6,5.5,10.0,18.7,0,0,2025-02-02T21:54:13.501550
20250266,7,11.5,29.4,1.3,4.9,6.3,155,29.4,162,257,14.9,16.4,70.8,30.9,1003.5,1002.8,8.3,5.6,13.9,24.6,0,0,2025-02-02T21:54:14.653155
20250267,3,8.0,27.8,1.3,4.3,7.4,95,34.3,214,337,19.3,27.1,75.4,35.9,1017.6,1012.5,1.5,2.6,18.6,15.7,0,0,2025-02-02T21:54:15.768671
20250268,4,10.5,26.7,0.0,4.0,11.5,295,20.8,97,62,23.9,15.9,57.2,66.0,1004.1,1001.8,4.6,2.5,9.4,18.3,0,0,2025-02-02T21:54:16.893439
20250269,4,6.7,22.8,0.9,5.7,10.9,338,25.0,300,6,18.8,15.3,42.8,63.5,1001.2,1002.4,7.8,3.2,13.9,27.2,1,0,2025-02-02T21:54:16.257248
20250270,7,7.9,28.4,0.7,5.5,9.3,117,35.5,256,308,12.4,25.8,82.9,32.8,1021.2,1014.0,5.0,1.4,10.8,26.6,0,0,2025-02-02T21:54:17.428338
20250271,4,14.8,23.6,1.4,4.3,5.8,22,45.2,239,84,6.2,13.7,78.7,38.7,1009.7,1015.1,4.1,5.0,18.7,29.1,1,0,2025-02-02T21:54:18.617930
20250272,8,9.8,28.0,1.3,4.4,5.9,147,48.5,197,239,12.7,12.1,61.3,35.3,1013.8,1009.3,4.8,0.8,5.6,25.4,1,0,2025-02-02T21:54:19.777071
20250273,7,7.0,22.3,1.9,5.5,8.0,191,48.9,95,185,6.8,18.8,49.2,68.1,1002.3,1006.6,5.3,8.3,6.0,29.6,0,0,2025-02-02T21:54:20.945366
20250274,1,13.2,20.5,1.8,3.8,7.5,11,24.8,234,117,14.9,12.0,59.5,31.8,1006.0,1014.3,0.9,8.7,19.6,16.1,0,0,2025-02-02T21:54:22.084501
20250275,7,13.1,21.1,1.4,3.9,10.0,143,47.8,238,150,6.8,10.8,45.9,30.4,1022.4,1003.1,3.3,7.8,9.4,28.5,1,0,2025-02-02T21:54:23.261044
20250276,1,11.2,24.6,0.8,5.4,9.6,2,23.4,68,17,14.7,17.4,52.3,67.2,1019.7,1015.9,8.1,0.5,12.2,18.0,0,0,2025-02-02T21:54:24.410143
20250277,5,5.2,28.8,1.4,6.0,6.0,331,28.9,17,173,11.0,22.6,85.8,35.7,1002.9,1004.0,5.1,7.5,5.8,27.8,1,0,2025-02-02T21:54:25.514709
20250278,5,14.8,20.6,1.3,3.8,10.0,158,41.4,273,139,9.3,27.6,71.2,60.6,1014.0,1014.2,5.0,9.2,11.8,18.2,0,0,2025-02-02T21:54:26.697204
20250279,5,5.6,20.6,2.0,5.3,5.1,26,48.5,9,329,5.3,23.5,68.8,43.0,1016.2,1000.4,4.1,1.4,8.1,19.4,0,1,2025-02-02T21:54:27.888149
20250280,5,11.6,24.5,1.1,4.4,10.5,84,27.1,122,272,8.4,29.9,64.3,45.0,1023.2,1004.1,1.1,2.3,8.3,18.1,1,0,2025-02-02T21:54:29.039011
20250281,7,11.9,27.9,0.3,5.3,7.2,123,48.2,123,55,14.6,15.9,84.6,51.0,1017.1,1016.5,0.5,5.7,10.8,19.5,1,0,2025-02-02T21:54:30.197682
20250282,7,8.5,28.5,0.9,3.3,5.0,318,46.5,312,79,22.3,22.2,42.2,58.2,1022.2,1011.2,8.1,8.8,9.2,26.2,1,1,2025-02-02T21:54:31.337113
20250283,8,5.9,30.0,0.9,3.6,9.6,351,27.5,324,266,13.4,19.0,68.7,45.2,1012.3,1005.5,1.6,5.4,7.2,29.8,1,0,2025-02-02T21:54:32.522984
20250284,4,11.4,20.4,0.0,5.0,9.7,163,45.3,299,133,12.8,13.4,69.7,64.7,1011.1,1017.2,2.1,1.2,16.9,24.5,0,0,2025-02-02T21:54:33.716735
20250285,2,6.6,27.5,0.8,3.9,11.4,1,47.4,54,86,19.7,29.1,71.7,65.7,1017.7,1018.6,0.2,1.3,16.7,24.3,0,0,2025-02-02T21:54:34.907332
20250286,3,8.7,29.2,1.4,5.9,7.7,14,32.4,198,356,13.2,17.4,56.3,32.0,1016.6,1013.8,6.7,5.9,5.2,22.3,0,0,2025-02-02T21:54:36.014803
20250287,5,9.8,21.6,0.5,3.1,5.6,47,30.4,307,184,15.6,20.6,61.4,66.3,1018.0,1003.8,2.2,0.5,8.0,17.4,0,0,2025-02-02T21:54:37.207205
20250288,1,10.2,25.4,0.0,4.4,8.2,145,26.5,55,260,12.4,29.4,62.0,58.3,1020.5,1004.9,1.0,7.0,5.2,24.4,1,0,2025-02-02T21:54:38.368290
20250289,5,14.7,26.3,0.2,4.9,6.8,85,25.3,263,291,25.0,10.7,66.9,36.3,1021.1,1002.8,4.1,7.4,10.9,27.0,0,0,2025-02-02T21:54:39.518056
20250290,1,8.9,29.2,1.0,5.0,8.7,161,25.2,180,283,13.5,19.6,65.6,39.8,1016.7,1001.9,1.4,9.7,7.9,27.0,0,0,2025-02-02T21:54:40.660801
20250291,8,5.1,28.2,0.5,4.4,6.7,93,47.4,248,42,22.7,21.7,71.3,59.0,1005.5,1002.7,9.3,3.9,11.5,20.8,1,0,2025-02-02T21:54:41.778883
20250292,2,12.3,21.6,0.3,4.1,5.3,161,36.5,339,19,23.2,13.9,82.7,60.8,1024.7,1019.5,6.2,9.7,15.1,18.8,0,0,2025-02-02T21:54:42.973552
20250293,3,7.1,20.4,1.9,3.5,8.8,152,49.4,284,169,13.3,27.2,62.0,65.4,1015.0,1019.1,6.6,9.7,15.6,22.1,0,1,2025-02-02T21:54:44.125123
20250294,5,10.3,29.4,0.4,5.8,5.1,194,36.7,264,318,18.1,28.9,85.8,66.6,1024.2,1019.8,9.6,6.9,17.7,27.6,1,0,2025-02-02T21:54:45.263612
20250295,1,12.6,20.9,1.9,3.9,5.5,190,31.5,154,49,14.1,15.7,84.6,31.6,1002.7,1005.2,2.7,4.1,12.8,27.6,1,0,2025-02-02T21:54:44.618829
20250296,1,14.4,21.3,0.3,4.3,11.2,161,24.5,257,177,18.0,13.7,45.0,60.0,1011.2,1019.7,9.2,1.3,12.7,18.8,0,0,2025-02-02T21:54:45.802483
20250297,3,13.1,26.3,0.6,5.8,10.6,207,44.4,85,305,17.8,23.9,62.7,36.3,1011.0,1013.6,2.4,5.1,15.2,19.9,1,0,2025-02-02T21:54:46.976095
20250298,1,11.4,25.2,0.1,3.3,6.4,153,38.3,185,6,20.0,13.1,71.7,56.4,1002.2,1016.9,9.8,2.8,9.1,22.4,0,0,2025-02-02T21:54:48.150890
20250299,7,9.5,24.0,1.3,5.6,11.0,295,39.7,232,344,8.3,16.9,77.3,33.4,1018.3,1006.8,3.4,8.9,7.6,19.4,1,0,2025-02-02T21:54:49.279150
20250300,1,5.2,29.0,1.2,4.9,8.4,262,49.5,284,223,24.3,24.2,85.3,68.3,1017.6,1013.0,7.7,7.5,6.4,15.5,1,0,2025-02-02T21:54:50.400767
20250301,4,11.9,20.4,1.7,5.2,8.4,152,36.7,315,148,18.1,27.0,84.5,70.0,1012.5,1012.2,7.5,7.8,12.9,18.4,0,0,2025-02-02T21:54:51.565114
20250302,6,7.6,25.0,1.4,6.0,9.6,22,29.2,334,279,20.0,24.1,59.3,61.0,1005.4,1004.0,0.2,7.9,14.2,18.8,1,0,2025-02-02T21:54:52.716816
20250303,3,9.4,27.4,1.0,4.9,10.9,295,26.3,53,79,12.1,10.5,50.3,44.9,1017.3,1017.6,1.9,2.1,9.9,15.5,0,0,2025-02-02T21:54:53.848163
20250304,7,8.5,20.5,0.8,3.6,5.8,33,37.2,314,267,15.9,26.6,77.7,42.2,1005.7,1007.8,3.4,0.4,9.6,20.7,0,0,2025-02-02T21:54:54.952233
20250305,5,9.6,23.9,1.3,4.0,9.9,172,49.1,101,57,11.4,19.5,80.3,48.7,1003.1,1015.0,6.1,0.7,15.1,27.5,1,0,2025-02-02T21:54:56.109862
20250306,9,7.5,22.8,1.6,5.2,9.7,267,37.0,153,254,14.8,12.8,57.6,31.1,1012.4,1005.9,0.4,4.8,18.0,20.7,1,0,2025-02-02T21:54:57.289551
20250307,5,10.3,29.5,1.0,3.9,7.7,167,23.1,40,229,15.7,23.6,62.7,38.3,1022.3,1017.7,8.3,6.8,14.3,21.6,1,0,2025-02-02T21:54:58.472106
20250308,2,10.3,29.9,1.6,4.8,11.3,337,28.5,207,282,16.6,11.9,50.8,39.1,1024.2,1009.9,5.2,0.2,8.2,18.7,1,0,2025-02-02T21:54:59.633596
20250309,2,13.8,26.0,0.1,5.4,7.1,73,49.7,218,95,16.1,23.7,43.4,34.9,1007.6,1010.8,3.1,5.9,13.4,20.1,1,0,2025-02-02T21:55:00.848048
20250310,8,12.8,22.0,0.6,5.5,9.7,281,38.4,149,197,20.5,10.1,83.3,30.7,1001.2,1008.2,9.9,9.6,6.5,15.0,1,0,2025-02-02T21:55:02.017108
20250311,8,10.7,21.0,2.0,3.2,10.4,161,42.6,302,55,12.5,28.3,43.5,30.3,1002.6,1012.2,4.6,7.4,7.5,18.8,0,0,2025-02-02T21:55:03.181869
20250312,6,6.0,25.3,0.3,3.1,6.5,71,37.6,95,247,6.8,15.7,47.4,68.7,1000.5,1000.8,4.6,5.6,7.4,22.1,1,0,2025-02-02T21:55:04.360693
20250313,3,8.1,23.8,0.5,3.2,9.8,84,41.3,132,189,16.8,15.5,53.5,37.2,1019.2,1011.1,8.5,6.1,17.6,25.6,0,0,2025-02-02T21:55:05.470926
20250314,6,8.7,26.1,2.0,4.0,10.3,21,26.8,190,43,15.8,23.9,77.1,68.7,1020.2,1001.5,0.5,3.1,18.3,19.0,0,1,2025-02-02T21:55:06.663113
20250315,1,7.3,26.6,1.3,4.6,6.9,61,23.4,269,27,13.6,22.8,53.8,35.6,1011.4,1017.4,5.5,4.5,14.1,26.0,1,0,2025-02-02T21:55:07.820574
20250316,9,5.6,23.6,0.0,4.3,5.0,198,44.3,353,182,5.2,16.7,41.9,67.7,1014.4,1010.2,1.7,4.4,17.9,18.3,0,1,2025-02-02T21:55:08.966434
20250317,9,6.0,29.1,0.7,3.4,10.3,111,24.3,249,216,24.4,23.8,62.5,31.3,1006.8,1018.3,5.6,9.3,11.9,20.6,0,0,2025-02-02T21:55:10.103115
20250318,6,13.7,30.0,1.6,5.6,10.1,160,20.2,26,231,21.1,29.4,60.9,56.5,1013.0,1014.8,5.5,5.4,15.7,18.1,0,0,2025-02-02T21:55:11.282100
20250319,7,5.0,25.8,1.6,4.1,7.1,73,29.2,335,222,21.9,18.3,76.6,38.5,1011.0,1019.2,2.6,2.4,6.1,19.3,0,0,2025-02-02T21:55:12.471241
20250320,4,15.0,27.1,1.0,5.2,6.0,326,42.3,78,5,7.9,23.3,71.9,30.4,1012.7,1004.8,2.0,6.5,5.4,29.1,1,0,2025-02-02T21:55:11.846141
20250321,8,7.3,27.2,0.3,3.6,11.5,78,25.2,130,65,17.7,22.5,88.1,64.3,1019.5,1005.5,6.0,4.6,19.1,29.3,0,1,2025-02-02T21:55:13.006865
20250322,8,7.9,22.9,0.1,4.4,6.6,102,36.6,294,203,14.8,12.4,49.0,60.7,1001.5,1008.4,1.3,4.4,5.5,17.6,1,0,2025-02-02T21:55:14.121558
20250323,8,13.3,22.7,0.5,3.0,6.6,197,42.9,59,345,14.9,27.9,51.9,45.2,1018.6,1016.2,8.1,5.7,6.6,20.8,0,0,2025-02-02T21:55:15.329946
20250324,8,7.1,20.6,0.7,5.6,6.2,98,39.0,171,209,13.1,15.0,46.0,68.1,1009.7,1011.9,3.4,3.4,18.5,27.9,1,0,2025-02-02T21:55:16.496683
20250325,7,12.4,27.5,1.3,3.9,8.6,174,31.9,200,295,22.6,16.6,54.6,64.4,1020.0,1018.2,8.7,4.4,19.7,22.1,1,0,2025-02-02T21:55:17.636352
